mois_pret_duree,historique_credit,Prix,taux_versement_mensuel,solde_epargne,duree_emploi,age,logement
6,0,2338,4,0,156.0,67,2
48,3,1190,2,890,24.0,22,2
42,3,15764,2,90,60.0,45,0
36,3,18110,2,0,24.0,35,0
36,3,13896,2,570,24.0,35,1
12,3,6118,2,18426,48.0,61,2
30,0,10468,4,520,0.0,28,2
12,3,25900,3,930,6.0,25,1
48,3,8616,3,710,5.0,24,1
12,3,3134,1,480,24.0,22,2
15,3,28060,2,860,36.0,28,1
24,3,2564,4,2090,12.0,32,2
24,0,4848,4,0,204.0,53,2
30,1,16144,2,0,3.0,25,2
24,3,6860,3,5350,108.0,31,2
6,3,5294,2,5300,12.0,44,1
10,0,44820,1,140,4.0,48,1
12,0,3608,3,3610,3.0,44,2
10,0,4138,2,0,24.0,26,2
6,3,2748,1,750,24.0,36,2
12,2,818,3,78580,12.0,42,1
7,3,4830,3,100,36.0,34,2
18,3,3826,3,93430,10.0,36,2
18,3,11732,2,2050,36.0,30,2
12,0,2528,4,0,132.0,57,1
45,0,9492,4,630,7.0,25,2
48,0,12220,1,410,24.0,31,0
18,3,4200,4,40,12.0,37,2
30,3,4666,4,9570,228.0,30,2
12,3,2316,3,6410,24.0,26,2
18,4,12408,2,900,12.0,44,2
30,0,12374,1,1180,84.0,24,1
48,0,12286,4,120,168.0,58,0
11,0,2786,4,750,1.0,35,2
36,3,4598,4,8800,204.0,39,2
6,3,2704,1,8790,0.0,23,1
11,0,14456,1,990,12.0,39,2
12,3,4146,4,3080,36.0,28,2
24,4,4666,4,0,3.0,29,2
27,4,11930,1,780,216.0,30,2
12,3,2524,3,500,36.0,25,2
18,3,6756,2,0,24.0,31,2
36,4,4450,4,310,156.0,57,0
6,2,1566,1,0,36.0,26,2
12,3,1293,2,0,0.0,52,2
36,0,1913,2,810,12.0,31,2
18,3,3922,3,350,156.0,23,2
36,0,12458,4,300,1.0,23,1
9,3,2782,2,370,24.0,27,2
15,0,3074,4,0,216.0,50,2
36,1,3906,4,730,216.0,61,0
48,1,28842,2,820,24.0,25,2
24,3,6362,4,160,4.0,26,2
27,3,10380,4,0,204.0,48,2
12,3,4342,2,820,3.0,29,2
12,3,2014,4,48650,36.0,22,2
36,3,3638,4,890,12.0,37,0
36,3,4788,4,0,24.0,25,2
36,3,16266,1,540,36.0,30,2
7,0,1460,4,0,108.0,46,1
36,3,3954,4,0,84.0,40,2
12,0,3052,4,70,192.0,66,0
42,3,7930,4,380,10.0,34,2
30,3,7664,2,380,7.0,22,2
15,3,2426,4,7010,228.0,47,2
24,3,3510,4,290,168.0,58,2
10,3,4630,3,770,180.0,52,2
12,0,2824,4,930,12.0,29,2
18,3,4498,4,3260,48.0,30,2
12,1,2216,4,550,72.0,28,2
12,0,1236,4,350,96.0,56,2
12,0,2818,4,110,228.0,54,2
24,0,7234,4,0,228.0,20,1
12,3,2636,4,18360,144.0,54,2
12,0,4024,4,0,84.0,61,2
18,3,5244,4,1200,24.0,34,2
20,4,14114,3,0,84.0,36,1
24,3,2938,4,3550,144.0,41,1
36,3,4646,4,440,60.0,24,1
6,4,1864,3,840,24.0,24,2
9,0,3838,4,600,60.0,35,1
12,3,4890,2,0,3.0,26,1
18,2,12916,2,510,156.0,39,2
12,3,12156,2,660,72.0,32,2
24,3,15442,1,0,2.0,30,2
14,3,2820,1,9990,168.0,35,2
12,3,3360,3,8410,144.0,35,2
48,0,7156,4,0,132.0,47,2
10,0,4264,2,0,7.0,27,1
33,0,8562,1,6700,12.0,23,2
12,0,4732,3,5120,84.0,36,2
24,0,7736,4,380,228.0,41,1
12,3,3536,3,580,36.0,24,1
10,0,1562,4,560,228.0,63,0
18,3,3848,4,0,0.0,27,1
12,0,4242,4,490,12.0,30,2
12,3,1402,4,160,12.0,40,2
12,3,1278,4,260,36.0,30,2
12,0,3720,4,540,0.0,34,2
12,0,6998,3,190,36.0,29,2
15,3,5416,2,940,3.0,27,2
18,3,3968,4,310,12.0,47,0
60,3,20288,2,4450,48.0,21,2
12,0,2480,4,0,192.0,38,2
27,4,17226,2,180770,12.0,27,2
12,3,1532,4,9090,12.0,66,2
6,3,1418,2,120480,6.0,27,2
36,3,9590,4,510,9.0,30,2
